Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","16,528.80","16,694.40","16,470.90","16,630.45","35.55","0.21","3,437.16","24,720.13","18,604.45","14,151.40","9.59","-3.69"
"CIPLA","984.25","1,053.75","981.35","1,045.00","57.95","5.87","111.07","1,136.71","1,053.75","738.10","28.63","10.23"
"BPCL","351.00","363.70","350.25","363.20","14.20","4.07","82.79","294.97","503.00","331.10","-18.47","-3.76"
"SUNPHARMA","872.00","907.00","869.05","901.45","31.90","3.67","71.94","643.59","907.00","562.10","44.00","0.82"
"JSWSTEEL","648.50","673.00","647.20","667.80","17.05","2.62","81.72","543.95","776.50","403.50","61.30","1.17"
"IOC","120.80","124.40","120.40","123.60","2.65","2.19","123.99","151.60","141.50","86.75","25.04","1.85"
"DRREDDY","3,893.00","3,996.00","3,873.00","3,974.95","82.45","2.12","11.13","440.49","5,614.60","3,654.00","-11.68","-8.03"
"POWERGRID","209.30","213.00","207.75","212.60","3.75","1.80","97.45","205.27","223.40","148.88","-1.19","1.21"
"COALINDIA","181.00","182.50","179.25","181.90","2.95","1.65","146.64","265.72","203.80","123.40","20.50","13.72"
"ITC","231.90","237.10","230.15","234.95","2.95","1.27","416.99","977.85","265.30","199.10","13.78","1.60"
"TITAN","2,478.00","2,498.20","2,448.85","2,493.00","25.20","1.02","8.12","201.24","2,687.25","1,400.05","69.45","2.02"
"DIVISLAB","4,298.00","4,353.00","4,250.00","4,344.50","43.60","1.01","3.53","152.22","5,425.10","3,153.30","23.14","1.57"
"SHREECEM","22,150.00","22,434.40","21,919.30","22,400.00","202.40","0.91","0.45","100.45","32,048.00","21,650.00","-18.71","-9.55"
"GRASIM","1,553.75","1,575.90","1,541.00","1,567.20","12.30","0.79","12.02","187.89","1,929.80","1,262.00","13.15","-8.77"
"ASIANPAINT","2,917.00","2,939.95","2,882.35","2,935.00","22.20","0.76","12.65","369.48","3,590.00","2,343.05","20.69","-8.75"
"ONGC","172.50","176.40","171.70","175.50","1.15","0.66","261.87","456.24","194.95","97.45","53.41","5.12"
"BAJAJFINSV","15,400.00","15,750.00","15,280.00","15,550.00","82.55","0.53","3.30","513.84","19,325.00","8,960.05","55.63","-2.75"
"SBIN","466.40","474.80","462.00","470.85","2.15","0.46","220.91","1,038.76","549.00","321.30","21.45","-11.39"
"BAJFINANCE","6,550.00","6,685.00","6,490.05","6,615.00","30.10","0.46","12.65","836.58","8,050.00","4,362.00","19.30","-6.24"
"HEROMOTOCO","2,318.00","2,345.00","2,287.10","2,330.00","9.25","0.40","4.68","108.95","3,475.00","2,146.85","-31.86","-12.80"
"SBILIFE","1,050.00","1,066.10","1,041.65","1,054.20","4.15","0.40","6.98","73.92","1,293.25","861.00","12.06","-6.80"
"KOTAKBANK","1,745.00","1,779.90","1,736.00","1,761.15","6.80","0.39","25.06","441.56","2,253.00","1,626.00","-10.33","-3.12"
"HDFCBANK","1,388.00","1,408.95","1,372.70","1,396.00","3.30","0.24","75.75","1,057.87","1,725.00","1,292.00","-10.27","-4.50"
"ICICIBANK","674.65","684.70","670.60","678.00","1.40","0.21","205.47","1,392.10","867.00","531.15","8.38","-14.45"
"TECHM","1,476.00","1,491.85","1,472.50","1,488.00","2.65","0.18","11.16","165.79","1,838.00","937.00","47.51","3.75"
"HCLTECH","1,180.00","1,207.15","1,176.30","1,193.95","1.80","0.15","27.71","330.97","1,377.75","891.00","20.78","2.75"
